carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,7927.231533981904,1943.3627244721001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76804.00599904348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31798.17851081011
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,137716.79971607728,137716.79971607728,137983.19973791338,138116.39974884375,138249.59975980004,138382.7997706819,138515.9997816382,138649.19979257265,138782.3998034545,138915.5998143541,139048.79982524892,139181.99983619226,139315.19984714175,139448.3998580154,139581.59986896624,139714.79987990684,139847.9998908037,139981.19990175252,140114.39991266033,140247.5999235606,140380.79993449096,140513.99994546163,140647.19995632092,140780.39996726767,140913.59997820485,141046.79998900744,141179.99999996787
coal_for_cement,107148.62524670774,113132.49405621755,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,38271.85078164616,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,83277.67826987953
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,28817.866839856175,28817.866839856175,28651.576230511135,28688.315788927484,28647.698033509478,28704.993186465388,28765.4340723134,25421.960760321548,22211.20648641577,22798.137239185242,7516.712189265428,4280.499618298939,2693.505668202443,1767.6447475945229,631.8771596918136,237.2784480904574,194.19567260080547,55.0902634974,55.0902634974,55.0902634974,6.866804675954708,7.053534126509422,7.240263577064128,0.7469178022188376,0.9336472527735468,22.81387954428587,152.23714919999998
electricity,3437.9171538376754,3437.9171538376754,3381.2332782391127,3356.8377315667553,3332.4421848849297,3308.938608167069,3288.9032096410147,3180.371366067034,3076.1996706488244,2972.0279752306146,2867.8562798105295,2763.68458439232,2659.512888972235,2555.34119354662,2451.169498128411,2346.9978027083253,2176.7185183057763,2211.4746215853106,2180.1231358791374,2148.7716501740997,2117.4201644690625,2086.068678762149,2054.717193057111,2023.3657073520735,1992.01422164516,1960.6627359401223,1929.3112502350848
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,241887.19950131522,241887.19950131522,242355.1072319761,242589.06109732811,242823.01496272575,243056.96882799256,243290.9226933902,243524.8765587494,243758.83042401625,243992.78428931427,244226.7381546039,244460.69201997874,244694.64588536436,244928.5997506168,245162.55361600482,245396.50748137487,245630.46134666807,245864.41521205253,246098.36907736494,246332.32294266415,246566.2768080162,246800.23067343904,247034.18453866625,247268.1384040471,247502.0922694111,247736.04613453872,247969.99999994357
limestone,47671.19990171906,47671.19990171906,47763.41529389309,47809.52298998437,47855.63068608464,47901.738382159114,47947.84607825938,47993.95377435208,48040.06147042656,48086.16916650719,48132.27686258617,48178.38455868194,48224.49225477984,48270.59995085148,48316.70764694986,48362.81534304468,48408.92303912436,48455.030735222026,48501.138431305495,48547.24612738637,48593.35382347764,48639.461519582874,48685.56921564955,48731.6769117465,48777.78460784014,48823.892303887194,48869.999999988875
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,22069.999954499563,22069.999954499563,22112.692265691247,22134.03842128906,22155.384576891032,22176.73073248107,22198.076888083044,22219.423043681516,22240.769199271555,22262.11535486444,22283.46151045656,22304.80766605645,22326.15382165733,22347.499977246054,22368.846132847153,22390.19228844661,22411.538444039055,22432.884599639827,22454.230755234024,22475.57691082702,22496.92306642483,22518.269222029106,22539.615377615533,22560.961533215974,22582.307688814883,22603.653844392218,22624.99999999485
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,4312.26591069979,4312.26591069979,4259.944611474821,5064.260325068359,5272.0576998699335,5356.037294750136,5589.410167257547,5560.841729961371,5532.647686778819,5483.760861163098,5425.797271505182,5376.406689528736,5048.200117013689,4931.362237539031,4937.168352206791,4884.255027120631,7949.937565223011,3263.0427177729407,3393.0081425670473,3522.9735673611544,3652.9389921552615,3782.904416981025,3912.8698417751316,4045.173846993575,4175.139271819337,4305.1046966134445,24641.4318349986
